title,method,complexity,scenario,advantages,limitations,data_driven,category,category_zh,category_bilingual,source_category
NaviRAG: Towards Active Knowledge Navigation for Retrieval-Augmented Generation,"NaviRAG framework that structures knowledge documents into hierarchical form, preserving semantic relationships from coarse-grained topics to fine-grained details, and uses an LLM agent to actively navigate records an...",medium,long-document QA benchmarks,Shift from passive segment retrieval to active knowledge navigation by structuring knowledge documents hierarchically and having an LLM agent actively navigate records to identify information gaps and retrieve relevan...,not specified,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Core Retrieval and Ranking Methods
AffectAgent: Collaborative Multi-Agent Reasoning for Retrieval-Augmented Multimodal Emotion Recognition,"AffectAgent comprises three jointly optimized specialized agents (query planner, evidence filter, emotion generator) that collaboratively perform analytical reasoning. The agents are optimized end-to-end using Multi-A...",high,MER-UniBench,"AffectAgent, an affect-oriented multi-agent retrieval-augmented generation framework that leverages collaborative decision-making among agents for fine-grained affective understanding.",unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Multimodal and Visual RAG
Transforming External Knowledge into Triplets for Enhanced Retrieval in RAG of LLMs,"Tri-RAG, a structured triplet-based retrieval framework that uses lightweight prompt-based adaptation with frozen model parameters to transform external knowledge into triplets, with the triplet head Condition serving...",medium,multiple benchmark datasets,"Transform external knowledge from natural language into standardized structured triplets consisting of Condition, Proof, and Conclusion to improve retrieval efficiency through reasoning-aligned context construction.",unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
"Adaptive Query Routing: A Tier-Based Framework for Hybrid Retrieval Across Financial, Legal, and Medical Documents","Implementation and evaluation of three retrieval architectures (Vector RAG, Tree Reasoning, and Adaptive Hybrid Retrieval) across multiple domains, introduction of a four-tier query complexity benchmark, and GPT-4-pow...",medium,"SEC filings, FinanceBench (150 expert-annotated questions on real SEC 10-K and 10-Q filings), financial, legal, and medical domains",Adaptive retrieval systems should dynamically select strategies based on query complexity and document structure rather than relying on a single paradigm.,Not explicitly mentioned,yes,Domain-Specific RAG Applications,领域应用型 RAG,领域应用型 RAG (Domain-Specific RAG Applications),Core Retrieval and Ranking Methods
AdversarialCoT: Single-Document Retrieval Poisoning for LLM Reasoning,"Iteratively refining the adversarial document through interactions with the LLM, progressively exposing and exploiting critical reasoning vulnerabilities",medium,benchmark LLMs,"AdversarialCoT, a query-specific attack that poisons only a single document in the corpus by extracting the target LLM's reasoning framework to guide the construction of an adversarial chain-of-thought (CoT)",not specified,yes,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Reliability, Safety, Privacy, and Security"
Knowledge Is Not Static: Order-Aware Hypergraph RAG for Language Models,"Order-Aware Knowledge Hypergraph RAG (OKH-RAG), which treats order as a first-class structural property and uses a learned transition model to infer precedence directly from data.",medium,tropical cyclone and port operation scenarios,"Representing knowledge as higher-order interactions within a hypergraph augmented with precedence structure, and reformulating retrieval as sequence inference over hyperedges.",not specified,yes,Knowledge Graph and Structured Knowledge RAG,知识图谱与结构化知识 RAG,知识图谱与结构化知识 RAG (Knowledge Graph and Structured Knowledge RAG),Knowledge Graph and Structured Knowledge RAG
Beyond Factual Grounding: The Case for Opinion-Aware Retrieval-Augmented Generation,"An Opinion-Aware RAG architecture featuring LLM-based opinion extraction, entity-linked opinion graphs, and opinion-enriched document indexing.",medium,e-commerce seller forum data,"RAG systems need to distinguish between epistemic uncertainty (factual queries) and aleatoric uncertainty (opinion queries), with opinion-aware RAG required to preserve rather than minimize posterior entropy.",Not explicitly mentioned in the abstract,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
Empirical Evaluation of PDF Parsing and Chunking for Financial Question Answering with RAG,Empirical evaluation of different PDF parsing and chunking strategies in RAG systems for financial question answering.,medium,"Financial domain benchmarks, including TableQuest (a newly generated, publicly available benchmark).","Systematically examining multiple PDF parsers and chunking strategies with varied overlap, along with their synergies in preserving document structure and ensuring answer correctness.",unknown,yes,"Evaluation, Benchmarks, and Diagnostics",评测、基准与诊断,"评测、基准与诊断 (Evaluation, Benchmarks, and Diagnostics)",Domain-Specific RAG Applications
Memory as Metabolism: A Design for Companion Knowledge Systems,"A companion-specific governance profile with normative obligations, time-structured procedural rules, and testable conformance invariants, supported by memory gravity and minority-hypothesis retention.",medium,unknown,"Personal LLM memory should be designed as a companion system that mirrors the user on operational dimensions and compensates on epistemic failure modes, implemented through five operations: TRIAGE, DECAY, CONTEXTUALIZ...","The safety story at the single-agent level is partial, and the paper is explicit about what it does and does not solve.",unknown,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Core Retrieval and Ranking Methods
Legal2LogicICL: Improving Generalization in Transforming Legal Cases to Logical Formulas via Diverse Few-Shot Learning,"LLM-based legal reasoning framework that enables effective in-context learning through retrieval-augmented generation, constructing informative and robust few-shot demonstrations for logical rule generation without ad...",high,"Legal2Proleg dataset, which is annotated with alignments between legal cases and PROLEG logical formulas to support the evaluation of legal semantic parsing","Introducing Legal2LogicICL, a few-shot retrieval framework that balances diversity and similarity of exemplars at both latent semantic representation and legal text structure levels, while mitigating entity-induced re...",unknown,yes,Domain-Specific RAG Applications,领域应用型 RAG,领域应用型 RAG (Domain-Specific RAG Applications),Domain-Specific RAG Applications
Beyond RAG for Cyber Threat Intelligence: A Systematic Evaluation of Graph-Based and Agentic Retrieval,"Evaluating four RAG architectures: standard vector retrieval, graph-based retrieval over a CTI knowledge graph, an agentic variant that repairs failed graph queries, and a hybrid approach combining graph queries with...",medium,"3,300 CTI question-answer pairs spanning factual lookups, multi-hop relational queries, analyst-style synthesis questions, and unanswerable cases.",Systematically comparing different RAG architectures for cyber threat intelligence analysis to understand when graph grounding improves performance.,unknown,yes,"Evaluation, Benchmarks, and Diagnostics",评测、基准与诊断,"评测、基准与诊断 (Evaluation, Benchmarks, and Diagnostics)","Evaluation, Benchmarks, and Diagnostics"
Retrieval as Generation: A Unified Framework with Self-Triggered Information Planning,"GRIP (Generation-guided Retrieval with Information Planning), a unified framework where the model regulates retrieval behavior through control-token emission, featuring Self-Triggered Information Planning.",medium,Five QA benchmarks,Expressing retrieval decisions within token-level decoding to enable end-to-end coordination without additional controllers or classifiers.,unknown,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Core Retrieval and Ranking Methods
Knowledge Compounding: An Empirical Economic Analysis of Self-Evolving Knowledge Wikis under the Agentic ROI Framework,"A dynamic Agentic ROI model in which cost is treated as a time-varying function Cost(t) governed by a knowledge-base coverage rate H(t), validated through a controlled four-query experiment on Qing Claw.",medium,"Qing Claw, an industrial-grade C# reimplementation of the OpenClaw multi-agent framework","Knowledge compounding as a new measurable concept in the empirical economics of LLM agents, which challenges the assumption of mutually independent task costs in traditional RAG.",unknown,yes,"Survey, Theory, and Governance",综述、理论与治理,"综述、理论与治理 (Survey, Theory, and Governance)",Agentic and Multi-Agent RAG
Exploring Knowledge Conflicts for Faithful LLM Reasoning: Benchmark and Method,ConflictQA benchmark and XoT two-stage explanation-based thinking framework,medium,ConflictQA benchmark,Introduce ConflictQA benchmark for cross-source conflicts and propose XoT framework for reasoning over heterogeneous conflicting evidence.,unknown,yes,"Evaluation, Benchmarks, and Diagnostics",评测、基准与诊断,"评测、基准与诊断 (Evaluation, Benchmarks, and Diagnostics)","Evaluation, Benchmarks, and Diagnostics"
AOP-Smart: A RAG-Enhanced Large Language Model Framework for Adverse Outcome Pathway Analysis,RAG framework that retrieves relevant knowledge from official XML data from AOP-Wiki to enhance LLM performance on AOP tasks.,medium,"AOP-Wiki XML data, test set with 20 AOP-related question answering tasks covering KE identification, upstream and downstream KE retrieval, and complex AOP retrieval tasks.","AOP-Smart is a Retrieval-Augmented Generation (RAG) framework that uses Key Events (KEs), Key Event Relationships (KERs), and specific AOP information to retrieve relevant knowledge for user questions, improving LLM r...",not specified,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Domain-Specific RAG Applications
"HOG-Layout: Hierarchical 3D Scene Generation, Optimization and Editing via Vision-Language Models","HOG-Layout, which incorporates retrieval-augmented generation (RAG) for semantic consistency, an optimization module for physical consistency, and a hierarchical representation for enhanced inference and optimization",high,unknown,"Using large language models (LLMs) and vision-language models (VLMs) for text-driven hierarchical scene generation, optimization and real-time scene editing",unknown,unknown,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),General or Unspecified RAG
How You Ask Matters! Adaptive RAG Robustness to Query Variations,"Creating a benchmark with human-written and model-generated rewrites to evaluate Adaptive RAG across three dimensions: answer quality, computational cost, and retrieval decisions.",high,A large-scale benchmark of diverse yet semantically identical query variations,Introducing a large-scale benchmark of diverse yet semantically identical query variations to systematically evaluate Adaptive RAG robustness.,unknown,yes,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Evaluation, Benchmarks, and Diagnostics"
Self-Correcting RAG: Enhancing Faithfulness via MMKP Context Selection and NLI-Guided MCTS,Self-Correcting RAG framework that reformulates retrieval and generation as constrained optimization and path planning,high,six multi-hop question answering and fact-checking datasets,formalizing context selection as a multi-dimensional multiple-choice knapsack problem and using natural language inference-guided Monte Carlo Tree Search to validate answer faithfulness,unknown,yes,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)",Core Retrieval and Ranking Methods
Detecting RAG Extraction Attack via Dual-Path Runtime Integrity Game,"Dual-path runtime integrity game with canary tokens embedded into retrieved chunks, detecting violations in real-time",medium,unknown,"CanaryRAG, a runtime defense mechanism inspired by stack canaries in software security that embeds canary tokens into retrieved chunks and reformulates RAG extraction defense as a dual-path runtime integrity game",unknown,unknown,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Reliability, Safety, Privacy, and Security"
CARO: Chain-of-Analogy Reasoning Optimization for Robust Content Moderation,"A two-stage training framework: first bootstraps analogical reasoning chains via retrieval-augmented generation (RAG) on moderation data and performs supervised fine-tuning (SFT); second, uses a customized direct pref...",high,"moderation data, ambiguous moderation benchmarks","Introducing CARO, a novel two-stage training framework to induce robust analogical reasoning in LLMs to overcome decision shortcuts in content moderation.",unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Domain-Specific RAG Applications
CodaRAG: Connecting the Dots with Associativity Inspired by Complementary Learning,"CodaRAG, a framework with a three-stage pipeline: (1) Knowledge Consolidation to unify fragmented extractions into a stable memory substrate; (2) Associative Navigation to traverse via multi-dimensional pathways recov...",medium,GraphRAG-Bench,Evolve retrieval from passive lookup into active associative discovery inspired by Complementary Learning Systems.,unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
CARE-ECG: Causal Agent-based Reasoning for Explainable and Counterfactual ECG Interpretation,"CARE-ECG framework that encodes multi-lead ECGs into temporally organized latent biomarkers, performs causal graph inference for probabilistic diagnosis, and supports counterfactual assessment via structural causal mo...",medium,multiple ECG benchmarks and expert QA settings (specifically Expert-ECG-QA and SCP-mapped PTB-XL),"A causally structured ECG-language reasoning framework that unifies representation learning, diagnosis, and explanation in a single pipeline.",not specified,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Core Retrieval and Ranking Methods
BLUEmed: Retrieval-Augmented Multi-Agent Debate for Clinical Error Detection,"BLUEmed decomposes clinical notes into focused sub-queries, retrieves source-partitioned evidence through dense, sparse, and online retrieval, assigns two domain expert agents distinct knowledge bases for independent...",high,clinical terminology substitution detection benchmark,A multi-agent debate framework augmented with hybrid Retrieval-Augmented Generation (RAG) that combines evidence-grounded reasoning with multi-perspective verification for clinical error detection.,not specified,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Domain-Specific RAG Applications
CircuitSynth: Reliable Synthetic Data Generation,"CircuitSynth, a neuro-symbolic framework that creates a tractable semantic prior using a Probabilistic Sentential Decision Diagram (PSDD) and employs convex optimization for distributional goals.",high,diverse benchmarks (not explicitly named),A neuro-symbolic framework that decouples semantic reasoning from surface realization by distilling reasoning capabilities into a Probabilistic Sentential Decision Diagram (PSDD) and introduces a convex optimization m...,unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Generation Method or Framework
SLM Finetuning for Natural Language to Domain Specific Code Generation in Production,"Fine-tuning variants of Mistral and other small language models on a dataset of natural language code pairs for domain-specific language generation, comparing to a previously implemented retrieval augmented generation...",high,dataset of natural language code pairs,Fine-tuning small language models to embed domain knowledge directly into model weights reduces reliance on runtime context and improves performance for domain-specific code generation.,unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Domain-Specific RAG Applications
Trans-RAG: Query-Centric Vector Transformation for Secure Cross-Organizational Retrieval,"vector2Trans, a multi-stage transformation technique that enables queries to dynamically transform to each organization's vector space, eliminating decryption overhead while maintaining native retrieval efficiency.",high,"8 retrievers, 3 datasets, and 3 LLMs","Trans-RAG implements a novel vector space language paradigm where each organization's knowledge exists in a mathematically isolated semantic space, with vector2Trans enabling query-centric transformations.",unknown,yes,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Reliability, Safety, Privacy, and Security"
When LLMs Lag Behind: Knowledge Conflicts from Evolving APIs in Code Generation,"Construction of a benchmark with 270 real-world updates from eight Python libraries, evaluation of four LLM families of 11 models, testing reasoning-based strategies like Self-Reflection.",low,Benchmark of 270 real-world updates from eight Python libraries.,A systematic empirical study of LLM code generation under API evolution using a benchmark of real-world API updates from Python libraries.,LLMs still persist in using outdated patterns even when API update specifications are provided.,yes,"Evaluation, Benchmarks, and Diagnostics",评测、基准与诊断,"评测、基准与诊断 (Evaluation, Benchmarks, and Diagnostics)",Domain-Specific RAG Applications
VISOR: Agentic Visual Retrieval-Augmented Generation via Iterative Search and Over-horizon Reasoning,"VISOR with structured Evidence Space, Visual Action Evaluation and Correction mechanism, and Dynamic Trajectory with Sliding Window and Intent Injection, trained using GRPO-based RL pipeline with state masking and cre...",medium,"ViDoSeek, SlideVQA, and MMLongBench","VISOR is a unified single-agent framework featuring structured Evidence Space for progressive cross-page reasoning, Visual Action Evaluation and Correction mechanism, and Dynamic Trajectory with Sliding Window and Int...",unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Agentic and Multi-Agent RAG
Policy-Aware Edge LLM-RAG Framework for Internet of Battlefield Things Mission Orchestration,A framework combining a lightweight retrieval module that grounds decisions in operational policies and telemetry with a locally hosted LLM for mission planning and a secondary JudgeLLM for validating user generated c...,medium,"Simulated IoBT environment using RoboDK, with mission scenarios including baseline operations, threat detection, coverage recovery, multi-event coordination, and policy-violation requests.",Implementing a Policy-Aware Large Language Model Retrieval-Augmented Generation (PA-LLM-RAG) framework that integrates retrieval-augmented reasoning and independent command verification for edge-deployed LLM orchestra...,Unknown (not explicitly mentioned in the abstract),yes,"Efficiency, Deployment, and On-Device RAG",效率、部署与端侧 RAG,"效率、部署与端侧 RAG (Efficiency, Deployment, and On-Device RAG)",Domain-Specific RAG Applications
On the Representational Limits of Quantum-Inspired 1024-D Document Embeddings: An Experimental Evaluation Framework,"An experimental framework for constructing quantum-inspired document embeddings using overlapping windows and multi-scale aggregation, combining semantic projections (e.g., EigAngle), circuit-inspired feature mappings...",medium,"Controlled corpora of Italian and English documents across technical, narrative, and legal domains, using synthetic queries.","Quantum-inspired 1024-dimensional document embeddings may have structural limitations including distance compression and ranking instability, making them better suited as auxiliary components rather than standalone re...","Structural limitations in the geometry of quantum-inspired embeddings, including distance compression and ranking instability, making them better suited as auxiliary components rather than standalone retrieval represe...",yes,"Evaluation, Benchmarks, and Diagnostics",评测、基准与诊断,"评测、基准与诊断 (Evaluation, Benchmarks, and Diagnostics)","Evaluation, Benchmarks, and Diagnostics"
Building Trust in the Skies: A Knowledge-Grounded LLM-based Framework for Aviation Safety,"A dual-phase pipeline framework that employs LLMs to automate the construction and dynamic updating of an Aviation Safety Knowledge Graph (ASKG) from multimodal sources, and then leverages this curated KG within a Ret...",medium,"Aviation safety domain, multimodal sources",A novel end-to-end framework that combines LLMs and Knowledge Graphs (KGs) to enhance the trustworthiness of safety analytics through a dual-phase pipeline: automating the construction and dynamic updating of an Aviat...,Not explicitly mentioned,yes,Knowledge Graph and Structured Knowledge RAG,知识图谱与结构化知识 RAG,知识图谱与结构化知识 RAG (Knowledge Graph and Structured Knowledge RAG),Knowledge Graph and Structured Knowledge RAG
Facet-Level Tracing of Evidence Uncertainty and Hallucination in RAG,A facet-level diagnostics framework that creates a structured Facet x Chunk matrix combining retrieval relevance with natural language inference-based faithfulness scores. Analysis of three controlled inference modes:...,medium,Medical QA and HotpotQA,"Decompose input questions into atomic reasoning facets to assess evidence sufficiency and grounding, allowing for detailed analysis of how retrieved evidence is integrated during generation.",Not specified in the abstract,yes,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Evaluation, Benchmarks, and Diagnostics"
ADAM: A Systematic Data Extraction Attack on Agent Memory via Adaptive Querying,"ADAM, a privacy attack system that performs data distribution estimation of a victim agent's memory and uses an entropy-guided query strategy to maximize privacy leakage.",medium,unknown,"ADAM, a novel privacy attack that features data distribution estimation of a victim agent's memory and employs an entropy-guided query strategy for maximizing privacy leakage.",unknown,unknown,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),"Reliability, Safety, Privacy, and Security"
PriHA: A RAG-Enhanced LLM Framework for Primary Healthcare Assistant in Hong Kong,"A tri-stage pipeline that includes a query optimizer to generalize user intent-oriented sub-queries, followed by a novel Dual Retrieval Augmented Generation (DRAG) architecture for mixed-source retrieval and context-r...",high,Primary healthcare in Hong Kong,A RAG-enhanced LLM system for primary healthcare assistance that uses a tri-stage pipeline with query optimization and a Dual Retrieval Augmented Generation (DRAG) architecture.,Not specified,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Domain-Specific RAG Applications
MAB-DQA: Addressing Query Aspect Importance in Document Question Answering with Multi-Armed Bandits,Multi-Armed Bandit-based DQA framework (MAB-DQA) that dynamically reallocates retrieval budgets toward high-value aspects based on an exploration-exploitation policy.,medium,four benchmarks,"Decompose a query into aspect-aware subqueries and retrieve an aspect-specific candidate set for each, treating each subquery as an arm and using preliminary reasoning results as reward signals to estimate aspect util...",unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
Beyond Relevance: Utility-Centric Retrieval in the LLM Era,"A unified framework covering LLM-agnostic versus LLM-specific utility, context-independent versus context-dependent utility, and the connection with LLM information needs and agentic RAG.",high,unknown,Retrieval objectives are evolving from relevance-centric optimization toward LLM-centric utility in the context of retrieval-augmented generation (RAG) systems.,unknown,unknown,"Survey, Theory, and Governance",综述、理论与治理,"综述、理论与治理 (Survey, Theory, and Governance)","Survey, Theory, and Governance"
"Securing Retrieval-Augmented Generation: A Taxonomy of Attacks, Defenses, and Future Directions","Abstracting the RAG workflow into six stages and organizing literature around three trust boundaries and four primary security surfaces to systematically review attacks, defenses, remediation mechanisms, and evaluatio...",medium,unknown,"Secure RAG is fundamentally about the security of the external knowledge-access pipeline, which can be abstracted into six stages with three trust boundaries and four primary security surfaces.",unknown,unknown,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Reliability, Safety, Privacy, and Security"
HyperMem: Hypergraph Memory for Long-Term Conversations,"HyperMem structures memory into three levels: topics, episodes, and facts, and groups related episodes and their facts via hyperedges, with a hybrid lexical-semantic index and coarse-to-fine retrieval strategy",medium,LoCoMo benchmark,A hypergraph-based hierarchical memory architecture that models high-order associations using hyperedges,unknown,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),General or Unspecified RAG
From Binary Groundedness to Support Relations: Towards a Reader-Centred Taxonomy for Comprehension of AI Output,"Synthesizing a framework from prior research in linguistics and philosophy of language, and evaluating it through a benchmark and human annotation protocol.",medium,unknown,Development of a reader-centred taxonomy of grounding as a set of support relations between generated statements and source documents.,unknown,unknown,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Evaluation, Benchmarks, and Diagnostics"
Guaranteeing Knowledge Integration with Joint Decoding for Retrieval-Augmented Generation,GuarantRAG framework that uses a joint decoding mechanism to dynamically fuse the logical coherence of the Inner-Answer with the factual precision of the Refer-Answer at the token level.,medium,five QA benchmarks,Explicitly decouple reasoning from evidence integration by generating an 'Inner-Answer' based on parametric knowledge and a 'Refer-Answer' using a Contrastive DPO objective to guarantee faithful evidence extraction.,unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Core Retrieval and Ranking Methods
Rag Performance Prediction for Question Answering,"Studying pre-retrieval and post-retrieval predictors originally devised for ad hoc retrieval, and post-generation predictors, including a novel one that posts the best prediction quality",medium,unknown,Predicting when RAG will improve question answering performance,unknown,unknown,"Evaluation, Benchmarks, and Diagnostics",评测、基准与诊断,"评测、基准与诊断 (Evaluation, Benchmarks, and Diagnostics)",Core Retrieval and Ranking Methods
Efficient and Effective Internal Memory Retrieval for LLM-Based Healthcare Prediction,"Keys to Knowledge (K2K), a novel framework that enables rapid retrieval from internal key-value memory without inference-time overhead, enhanced through activation-guided probe construction and cross-attention reranking.",medium,four benchmark healthcare outcome prediction datasets,"Replacing external retrieval with internal, key-based knowledge access by encoding essential clinical information directly into the model's parameter space, enabling rapid retrieval without inference-time overhead.",unknown,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Domain-Specific RAG Applications
PRIME: Training Free Proactive Reasoning via Iterative Memory Evolution for User-Centric Agent,"A gradient-free learning framework that distills multi-turn interaction trajectories into structured, human-readable experiences organized across three semantic zones: successful strategies, failure patterns, and user...",high,Several diverse user-centric environments,"PRIME (Proactive Reasoning via Iterative Memory Evolution), a gradient-free learning framework that enables continuous agent evolution through explicit experience accumulation rather than expensive parameter optimizat...",unknown,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Agentic and Multi-Agent RAG
DCD: Domain-Oriented Design for Controlled Retrieval-Augmented Generation,"Hierarchical decomposition of information space and multi-stage routing based on structured model outputs, enabling progressive restriction of retrieval and generation scopes, complemented by smart chunking, hybrid re...",high,synthetic evaluation dataset,"DCD (Domain-Collection-Document), a domain-oriented design to structure knowledge and control query processing in RAG systems without modifying the underlying language model.",unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),General or Unspecified RAG
"Why teaching resists automation in an AI-inundated era: Human judgment, non-modular work, and the limits of delegation",Drawing on recent literature and empirical studies of large language models and retrieval-augmented generation systems,medium,unknown,"Teaching remains difficult to automate because it is inherently interpretive, relational, and grounded in professional judgment, and is shaped by human cognition, behavior, motivation, and social interaction in ways t...",unknown,unknown,"Survey, Theory, and Governance",综述、理论与治理,"综述、理论与治理 (Survey, Theory, and Governance)","Survey, Theory, and Governance"
A Systematic Study of Retrieval Pipeline Design for Retrieval-Augmented Medical Question Answering,"Systematic evaluation of retrieval-augmented medical question answering analyzing the interaction between language models, embedding models, retrieval strategies, query reformulation, and cross-encoder reranking acros...",medium,MedQA USMLE benchmark and a structured textbook-based knowledge corpus,Retrieval-augmented generation (RAG) can address these limitations by integrating external knowledge retrieval into the reasoning process,Not specified in the abstract,yes,"Evaluation, Benchmarks, and Diagnostics",评测、基准与诊断,"评测、基准与诊断 (Evaluation, Benchmarks, and Diagnostics)","Evaluation, Benchmarks, and Diagnostics"
Learning to Search: A Decision-Based Agent for Knowledge-Based Visual Question Answering,"A decision-based agent that selects among four actions (Answer, Image Retrieval, Text Retrieval, Caption) based on current information state, trained using automated collection of multi-step trajectories.",medium,InfoSeek and E-VQA,Reformulate KB-VQA as a search-agent problem modeled as a multi-step decision-making procedure where an agent selects from four actions at each step.,Unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Core Retrieval and Ranking Methods
DTCRS: Dynamic Tree Construction for Recursive Summarization,"DTCRS (Dynamic Tree Construction for Recursive Summarization) - a method that analyzes question type to determine if a summary tree is necessary, decomposes questions, and uses embeddings of sub-questions as initial c...",medium,unknown,"DTCRS dynamically generates summary trees based on document structure and query semantics, determines whether a summary tree is necessary by analyzing the question type, and uses embeddings of sub-questions as initial...",unknown,unknown,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
ChunQiuTR: Time-Keyed Temporal Retrieval in Classical Chinese Annals,ChunQiuTR benchmark and CTD (Calendrical Temporal Dual-encoder) that combines Fourier-based absolute calendrical context with relative offset biasing,medium,"ChunQiuTR benchmark built from the Spring and Autumn Annals and its exegetical tradition, with records organized by month-level reign keys and chrono-near confounders",Time-keyed retrieval for Classical Chinese annals where both topical relevance and temporal consistency are crucial,unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
RefineRAG: Word-Level Poisoning Attacks via Retriever-Guided Text Refinement,"RefineRAG, a framework with two stages: Macro Generation that produces toxic seeds to induce target answers, and Micro Refinement that employs retriever-in-the-loop optimization to maximize retrieval priority while ma...",high,NQ and MSMARCO datasets,Treating poisoning as a holistic word-level refinement problem to improve attack effectiveness and reduce detectability.,unknown,yes,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Reliability, Safety, Privacy, and Security"
Aligning Dense Retrievers with LLM Utility via DistillationAligning Dense Retrievers with LLM Utility via Distillation,"A bi-encoder trained with a Utility-Modulated InfoNCE objective to match utility distributions from perplexity reduction, injecting utility signals directly into the embedding space without requiring test-time LLM inf...",high,QASPER benchmark,"Utility-Aligned Embeddings (UAE), a framework that merges the advantages of dense retrieval and utility-based approaches by training a bi-encoder to imitate a utility distribution derived from perplexity reduction.",unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
